SKU,LOC,FECHA,UNI
Art02,LOC_069,2019-04-21,4.0
Art02,LOC_069,2019-04-28,9.0
Art02,LOC_069,2019-05-05,9.0
Art02,LOC_069,2019-05-12,3.0
Art02,LOC_069,2019-05-19,7.0
Art02,LOC_069,2019-05-26,12.0
Art02,LOC_069,2019-06-02,8.0
Art02,LOC_069,2019-06-09,8.0
Art02,LOC_069,2019-06-16,9.0
Art02,LOC_069,2019-06-23,3.0
Art02,LOC_070,2019-04-07,16.0
Art02,LOC_070,2019-04-14,24.0
Art02,LOC_070,2019-04-21,12.0
Art02,LOC_070,2019-04-28,16.0
Art02,LOC_070,2019-05-05,20.0
Art02,LOC_070,2019-05-12,14.0
Art02,LOC_070,2019-05-19,15.0
Art02,LOC_070,2019-05-26,13.0
Art02,LOC_070,2019-06-02,14.0
Art02,LOC_070,2019-06-09,5.0
Art02,LOC_070,2019-06-16,17.0
Art02,LOC_070,2019-06-23,22.0
Art02,LOC_071,2019-04-07,10.0
Art02,LOC_071,2019-04-14,9.0
Art02,LOC_071,2019-04-21,18.0
Art02,LOC_071,2019-04-28,19.0
Art02,LOC_071,2019-05-05,21.0
Art02,LOC_071,2019-05-12,16.0
Art02,LOC_071,2019-05-19,19.0
Art02,LOC_071,2019-05-26,9.0
Art02,LOC_071,2019-06-02,10.0
Art02,LOC_071,2019-06-09,12.0
Art02,LOC_071,2019-06-16,11.0
Art02,LOC_071,2019-06-23,12.0
Art02,LOC_072,2019-04-07,19.0
Art02,LOC_072,2019-04-14,22.0
Art02,LOC_072,2019-04-21,35.0
Art02,LOC_072,2019-04-28,23.0
Art02,LOC_072,2019-05-05,16.0
Art02,LOC_072,2019-05-12,22.0
Art02,LOC_072,2019-05-19,18.0
Art02,LOC_072,2019-05-26,23.0
Art02,LOC_072,2019-06-02,17.0
Art02,LOC_072,2019-06-09,18.0
Art02,LOC_072,2019-06-16,21.0
Art02,LOC_072,2019-06-23,25.0
Art02,LOC_073,2019-04-07,10.0
Art02,LOC_073,2019-04-14,2.0
Art02,LOC_073,2019-04-21,7.0
Art02,LOC_073,2019-04-28,8.0
Art02,LOC_073,2019-05-05,3.0
Art02,LOC_073,2019-05-12,9.0
Art02,LOC_073,2019-05-19,8.0
Art02,LOC_073,2019-05-26,10.0
Art02,LOC_073,2019-06-02,10.0
Art02,LOC_073,2019-06-09,7.0
Art02,LOC_073,2019-06-16,4.0
Art02,LOC_073,2019-06-23,5.0
Art02,LOC_074,2019-04-07,10.0
Art02,LOC_074,2019-04-14,6.0
Art02,LOC_074,2019-04-21,4.0
Art02,LOC_074,2019-04-28,4.0
Art02,LOC_074,2019-05-05,4.0
Art02,LOC_074,2019-05-12,6.0
Art02,LOC_074,2019-05-19,3.0
Art02,LOC_074,2019-05-26,6.0
Art02,LOC_074,2019-06-02,6.0
Art02,LOC_074,2019-06-09,4.0
Art02,LOC_074,2019-06-16,3.0
Art02,LOC_074,2019-06-23,3.0
Art02,LOC_075,2019-04-07,9.0
Art02,LOC_075,2019-04-14,3.0
Art02,LOC_075,2019-04-21,4.0
Art02,LOC_075,2019-04-28,6.0
Art02,LOC_075,2019-05-05,9.0
Art02,LOC_075,2019-05-12,7.0
Art02,LOC_075,2019-05-19,4.0
Art02,LOC_075,2019-05-26,12.0
Art02,LOC_075,2019-06-02,12.0
Art02,LOC_075,2019-06-09,4.0
Art02,LOC_075,2019-06-16,7.0
Art02,LOC_075,2019-06-23,6.0
Art02,LOC_076,2019-04-07,1.0
Art02,LOC_076,2019-04-14,4.0
Art02,LOC_076,2019-04-21,7.0
Art02,LOC_076,2019-04-28,5.0
Art02,LOC_076,2019-05-05,9.0
Art02,LOC_076,2019-05-12,5.0
